"issue_key","created","resolutiondate","days_to_solve"
"MNG-2124","2006-03-06","2006-03-08","2"
"MNG-1157","2005-10-10","2005-10-11","1"
"MNG-4200","2009-06-14","2009-12-29","198"
"MNG-4409","2009-10-27","2009-10-27","0"
"MNG-1311","2005-10-24","2005-12-08","45"
"MNG-651","2005-07-26","2005-07-28","2"
"MNG-5557","2014-01-05","2014-01-06","1"
"MNG-3422","2008-02-26","2009-02-10","350"
"MNG-3848","2008-11-17","2009-08-14","270"
"MNG-5403","2012-12-04","2012-12-04","0"
"MNG-851","2005-09-08","2005-09-12","4"
"MNG-3729","2008-08-26","2008-08-28","2"
"MNG-4767","2010-08-17","2010-08-25","8"
"MNG-4168","2009-05-20","2009-06-09","20"
"MNG-4982","2011-01-16","2011-02-24","39"
"MNG-4792","2010-09-02","2011-09-22","385"
"MNG-1022","2005-09-26","2005-09-26","0"
"MNG-2905","2007-03-27","2007-04-08","12"
"MNG-1337","2005-10-27","2006-03-08","132"
"MNG-4179","2009-05-28","2009-05-28","0"
"MNG-2720","2006-12-29","2009-02-09","773"
"MNG-2051","2006-02-08","2007-02-28","385"
"MNG-4772","2010-08-20","2010-08-20","0"
"MNG-767","2005-08-22","2005-09-23","32"
"MNG-568","2005-07-11","2005-08-01","21"
"MNG-888","2005-09-14","2005-10-10","26"
"MNG-4829","2010-09-20","2010-09-20","0"
"MNG-5723","2014-11-12","2014-11-23","11"
"MNG-4479","2009-12-03","2009-12-06","3"
"MNG-84","2004-09-28","2004-12-24","87"
"MNG-397","2005-05-15","2005-07-15","61"
"MNG-99","2004-12-10","2005-05-12","153"
"MNG-3680","2008-07-24","2008-07-25","1"
"MNG-1173","2005-10-11","2005-10-12","1"
"MNG-297","2005-04-12","2005-04-12","0"
"MNG-5078","2011-04-25","2011-07-26","92"
"MNG-874","2005-09-13","2005-09-15","2"
"MNG-5788","2015-03-18","2015-03-24","6"
"MNG-4775","2010-08-23","2010-08-23","0"
"MNG-1333","2005-10-26","2006-06-19","236"
"MNG-4511","2010-01-01","2010-01-01","0"
"MNG-513","2005-06-23","2005-07-11","18"
"MNG-5395","2012-11-30","2012-11-30","0"
"MNG-5157","2011-08-17","2011-08-17","0"
"MNG-4146","2009-04-27","2009-04-28","1"
"MNG-1335","2005-10-26","2005-11-01","6"
"MNG-2493","2006-08-10","2006-08-26","16"
"MNG-1630","2005-11-19","2005-12-06","17"
"MNG-3288","2007-11-16","2008-01-04","49"
"MNG-1207","2005-10-15","2005-10-20","5"
"MNG-5389","2012-11-28","2014-01-19","417"
"MNG-5695","2014-09-26","2014-09-26","0"
"MNG-5503","2013-08-12","2013-09-05","24"
"MNG-4842","2010-09-29","2010-09-29","0"
"MNG-605","2005-07-18","2005-09-03","47"
"MNG-709","2005-08-07","2005-08-17","10"
"MNG-4800","2010-09-08","2010-09-13","5"
"MNG-2877","2007-03-14","2007-03-18","4"
"MNG-419","2005-05-19","2005-06-20","32"
"MNG-1142","2005-10-08","2010-12-04","1883"
"MNG-296","2005-04-12","2005-04-20","8"
"MNG-342","2005-04-22","2005-04-26","4"
"MNG-479","2005-06-16","2005-08-22","67"
"MNG-5795","2015-03-31","2015-04-03","3"
"MNG-385","2005-05-12","2007-06-05","754"
"MNG-2475","2006-07-31","2006-08-23","23"
"MNG-523","2005-06-24","2005-10-08","106"
"MNG-1106","2005-10-06","2007-02-28","510"
"MNG-4359","2009-09-15","2009-09-15","0"
"MNG-4140","2009-04-20","2009-04-21","1"
"MNG-2486","2006-08-04","2010-03-18","1322"
"MNG-2228","2006-04-14","2007-01-03","264"
"MNG-2408","2006-06-27","2006-09-01","66"
"MNG-2042","2006-02-06","2006-02-06","0"
"MNG-144","2005-02-14","2005-02-15","1"
"MNG-2619","2006-10-19","2007-06-01","225"
"MNG-1620","2005-11-18","2005-11-19","1"
"MNG-739","2005-08-15","2005-08-17","2"
"MNG-1908","2006-01-02","2007-04-03","456"
"MNG-2154","2006-03-16","2006-04-13","28"
"MNG-4028","2009-02-11","2009-02-11","0"
"MNG-5702","2014-10-18","2014-12-29","72"
"MNG-2936","2007-04-05","2007-05-20","45"
"MNG-109","2005-01-14","2005-01-14","0"
"MNG-4416","2009-10-29","2009-10-29","0"
"MNG-4361","2009-09-16","2009-09-16","0"
"MNG-2831","2007-02-17","2007-06-04","107"
"MNG-4615","2010-03-31","2010-08-06","128"
"MNG-2407","2006-06-26","2006-08-11","46"
"MNG-4751","2010-08-05","2010-09-15","41"
"MNG-4345","2009-09-08","2009-09-08","0"
"MNG-4303","2009-08-14","2009-08-14","0"
"MNG-2460","2006-07-21","2006-07-21","0"
