"issue_key","created","resolutiondate","days_to_solve"
"SOLR-6848","2014-12-14","2014-12-24","10"
"SOLR-2552","2011-05-27","2011-05-27","0"
"LUCENE-3737","2012-01-31","2012-01-31","0"
"SOLR-2383","2011-02-26","2011-09-06","192"
"SOLR-1424","2009-09-11","2009-09-12","1"
"LUCENE-590","2006-06-07","2010-11-05","1612"
"LUCENE-1347","2008-07-30","2008-07-30","0"
"LUCENE-862","2007-04-12","2007-04-17","5"
"LUCENE-2216","2010-01-16","2010-11-23","311"
"SOLR-1777","2010-02-17","2010-02-18","1"
"LUCENE-6001","2014-10-09","2015-02-27","141"
"LUCENE-2497","2010-06-12","2010-06-12","0"
"LUCENE-1527","2009-01-23","2009-01-23","0"
"LUCENE-1717","2009-06-25","2009-07-09","14"
"SOLR-5643","2014-01-18","2014-01-24","6"
"LUCENE-3260","2011-06-29","2011-06-30","1"
"LUCENE-936","2007-06-21","2007-06-26","5"
"LUCENE-6666","2015-07-08","2015-07-08","0"
"LUCENE-4993","2013-05-09","2013-05-10","1"
"SOLR-92","2006-12-22","2007-01-06","15"
"LUCENE-955","2007-07-10","2007-07-12","2"
"SOLR-5301","2013-10-04","2013-10-04","0"
"LUCENE-4701","2013-01-21","2013-01-21","0"
"SOLR-5465","2013-11-19","2013-11-20","1"
"LUCENE-3719","2012-01-24","2012-01-30","6"
"LUCENE-369","2005-04-08","2006-05-27","414"
"SOLR-6128","2014-06-02","2014-06-18","16"
"SOLR-1264","2009-07-07","2011-01-28","570"
"LUCENE-973","2007-08-07","2009-06-16","679"
"LUCENE-5242","2013-09-24","2013-09-24","0"
"LUCENE-6588","2015-06-19","2015-06-23","4"
"SOLR-901","2008-12-08","2008-12-08","0"
"LUCENE-4712","2013-01-23","2013-01-23","0"
"SOLR-155","2007-02-09","2007-02-12","3"
"SOLR-5173","2013-08-19","2013-08-21","2"
"LUCENE-865","2007-04-20","2008-05-14","390"
"SOLR-3940","2012-10-12","2012-10-12","0"
"SOLR-5187","2013-08-26","2013-08-26","0"
"SOLR-7361","2015-04-07","2015-05-29","52"
"SOLR-3734","2012-08-16","2012-10-01","46"
"SOLR-320","2007-07-26","2007-07-26","0"
"LUCENE-1863","2009-08-27","2009-08-27","0"
"LUCENE-3043","2011-04-23","2011-04-23","0"
"LUCENE-469","2005-11-22","2005-12-08","16"
"SOLR-676","2008-08-06","2008-08-09","3"
"LUCENE-3904","2012-03-23","2012-03-23","0"
"SOLR-636","2008-07-16","2008-08-06","21"
"LUCENE-3555","2011-11-02","2011-11-04","2"
"SOLR-6402","2014-08-22","2014-08-24","2"
"LUCENE-2106","2009-12-03","2009-12-07","4"
"LUCENE-634","2006-07-25","2006-07-25","0"
"LUCENE-4970","2013-04-30","2013-05-01","1"
"SOLR-7039","2015-01-26","2015-01-27","1"
"SOLR-7492","2015-04-30","2015-05-19","19"
"SOLR-2045","2010-08-14","2012-11-12","821"
"SOLR-7574","2015-05-19","2015-06-09","21"
"SOLR-5562","2013-12-19","2013-12-20","1"
"LUCENE-5907","2014-08-26","2014-09-16","21"
"SOLR-2110","2010-09-08","2010-10-01","23"
"LUCENE-4029","2012-05-04","2012-05-04","0"
"SOLR-6900","2014-12-30","2015-01-18","19"
"LUCENE-5444","2014-02-13","2014-02-14","1"
"LUCENE-5367","2013-12-12","2014-01-29","48"
"LUCENE-3501","2011-10-09","2011-10-24","15"
"SOLR-729","2008-08-27","2008-08-28","1"
"LUCENE-1873","2009-08-29","2009-09-07","9"
"SOLR-5905","2014-03-24","2014-03-25","1"
"LUCENE-1154","2008-01-25","2009-11-16","661"
