"issue_key","created","resolutiondate","days_to_solve"
"ZOOKEEPER-400","2009-05-12","2009-05-14","2"
"ZOOKEEPER-1305","2011-11-18","2011-12-08","20"
"ZOOKEEPER-1212","2011-10-03","2011-10-19","16"
"ZOOKEEPER-1755","2013-09-07","2014-02-19","165"
"ZOOKEEPER-547","2009-10-08","2009-11-17","40"
"ZOOKEEPER-1074","2011-05-25","2011-06-27","33"
"ZOOKEEPER-1076","2011-05-25","2011-07-29","65"
"ZOOKEEPER-895","2010-10-14","2010-11-19","36"
"ZOOKEEPER-1134","2011-07-22","2011-07-25","3"
"ZOOKEEPER-2008","2014-08-12","2014-08-14","2"
"ZOOKEEPER-1795","2013-10-14","2013-10-14","0"
"ZOOKEEPER-882","2010-09-28","2010-12-23","86"
"ZOOKEEPER-1641","2013-02-06","2013-02-16","10"
"ZOOKEEPER-1719","2013-06-25","2013-06-28","3"
"ZOOKEEPER-731","2010-03-26","2011-09-06","529"
"ZOOKEEPER-1844","2013-12-16","2014-02-12","58"
"ZOOKEEPER-916","2010-11-03","2010-11-05","2"
"ZOOKEEPER-535","2009-09-24","2009-09-24","0"
"ZOOKEEPER-1695","2013-04-23","2014-04-30","372"
"ZOOKEEPER-1945","2014-06-24","2014-06-25","1"
"ZOOKEEPER-902","2010-10-18","2011-02-07","112"
