"issue_key","created","resolutiondate","days_to_solve"
"MAHOUT-685","2011-04-29","2011-05-06","7"
"MAHOUT-1138","2013-01-11","2013-01-11","0"
"MAHOUT-1336","2013-09-17","2013-09-17","0"
"MAHOUT-583","2011-01-13","2011-01-17","4"
"MAHOUT-1571","2014-06-04","2014-06-10","6"
"MAHOUT-1246","2013-06-08","2013-06-08","0"
"MAHOUT-641","2011-03-29","2011-03-31","2"
"MAHOUT-92","2008-10-31","2008-11-08","8"
"MAHOUT-1380","2013-12-15","2013-12-15","0"
"MAHOUT-444","2010-07-22","2010-09-24","64"
"MAHOUT-1665","2015-03-31","2015-04-08","8"
"MAHOUT-1457","2014-03-13","2014-03-13","0"
"MAHOUT-1617","2014-09-29","2015-04-03","186"
"MAHOUT-361","2010-04-02","2010-05-28","56"
"MAHOUT-1502","2014-04-02","2014-05-01","29"
"MAHOUT-1381","2013-12-16","2013-12-18","2"
"MAHOUT-1028","2012-06-05","2012-06-09","4"
"MAHOUT-689","2011-05-06","2011-05-06","0"
"MAHOUT-915","2011-12-06","2012-02-09","65"
"MAHOUT-207","2009-11-23","2010-01-21","59"
"MAHOUT-1171","2013-03-24","2013-03-24","0"
"MAHOUT-413","2010-06-11","2010-06-11","0"
"MAHOUT-22","2008-03-31","2008-04-04","4"
"MAHOUT-235","2009-12-31","2010-01-05","5"
"MAHOUT-481","2010-08-16","2010-08-16","0"
"MAHOUT-511","2010-09-22","2010-09-22","0"
"MAHOUT-1385","2013-12-20","2014-05-18","149"
"MAHOUT-339","2010-03-17","2010-04-02","16"
"MAHOUT-1103","2012-10-22","2013-06-09","230"
"MAHOUT-448","2010-07-24","2010-07-24","0"
"MAHOUT-25","2008-04-05","2008-04-19","14"
"MAHOUT-1045","2012-07-11","2013-06-01","325"
"MAHOUT-1312","2013-08-12","2013-11-30","110"
"MAHOUT-1072","2012-09-21","2012-10-08","17"
"MAHOUT-1630","2014-11-25","2015-04-08","134"
"MAHOUT-1098","2012-10-11","2013-06-09","241"
"MAHOUT-745","2011-06-28","2011-06-28","0"
"MAHOUT-113","2009-03-30","2009-10-11","195"
"MAHOUT-1576","2014-06-09","2014-06-09","0"
"MAHOUT-1560","2014-05-23","2014-05-24","1"
"MAHOUT-885","2011-11-14","2011-11-14","0"
"MAHOUT-1508","2014-04-11","2014-04-12","1"
"MAHOUT-455","2010-08-05","2010-08-10","5"
"MAHOUT-1189","2013-04-09","2013-05-03","24"
"MAHOUT-355","2010-03-31","2010-04-01","1"
"MAHOUT-426","2010-06-23","2010-07-08","15"
"MAHOUT-1611","2014-08-28","2014-11-09","73"
"MAHOUT-659","2011-04-08","2011-04-08","0"
"MAHOUT-1061","2012-08-28","2013-03-11","195"
"MAHOUT-369","2010-04-07","2011-04-05","363"
"MAHOUT-1263","2013-06-14","2013-06-15","1"
"MAHOUT-1410","2014-01-24","2014-01-26","2"
"MAHOUT-1636","2014-12-23","2015-03-27","94"
"MAHOUT-1325","2013-09-04","2013-11-13","70"
"MAHOUT-1587","2014-06-22","2014-08-15","54"
"MAHOUT-1349","2013-11-01","2013-12-08","37"
"MAHOUT-1093","2012-10-09","2013-03-11","153"
"MAHOUT-401","2010-05-27","2010-09-27","123"
"MAHOUT-1111","2012-11-10","2013-03-11","121"
"MAHOUT-919","2011-12-09","2011-12-09","0"
"MAHOUT-482","2010-08-18","2010-08-18","0"
"MAHOUT-326","2010-03-11","2010-07-31","142"
"MAHOUT-1674","2015-04-05","2015-04-07","2"
"MAHOUT-11","2008-03-06","2009-12-10","644"
"MAHOUT-1163","2013-03-14","2013-06-09","87"
"MAHOUT-547","2010-11-16","2010-12-01","15"
"MAHOUT-1207","2013-05-09","2013-05-12","3"
"MAHOUT-1302","2013-08-05","2013-09-06","32"
"MAHOUT-775","2011-07-26","2013-06-01","676"
"MAHOUT-212","2009-12-07","2009-12-10","3"
"MAHOUT-1639","2015-01-27","2015-03-25","57"
"MAHOUT-557","2010-11-30","2010-12-12","12"
"MAHOUT-208","2009-11-24","2010-01-28","65"
"MAHOUT-1697","2015-04-26","2015-04-26","0"
"MAHOUT-642","2011-03-30","2011-03-30","0"
"MAHOUT-353","2010-03-30","2010-04-01","2"
"MAHOUT-289","2010-02-12","2010-02-12","0"
"MAHOUT-1044","2012-07-11","2012-07-11","0"
"MAHOUT-1270","2013-06-27","2013-06-27","0"
"MAHOUT-447","2010-07-23","2010-07-27","4"
"MAHOUT-268","2010-01-27","2010-01-28","1"
"MAHOUT-1593","2014-07-09","2015-04-03","268"
"MAHOUT-660","2011-04-08","2011-04-08","0"
"MAHOUT-498","2010-09-08","2010-10-15","37"
"MAHOUT-1596","2014-07-16","2014-07-29","13"
"MAHOUT-1563","2014-05-27","2015-03-29","306"
"MAHOUT-625","2011-03-11","2011-05-21","71"
"MAHOUT-430","2010-06-28","2010-06-29","1"
"MAHOUT-861","2011-11-02","2011-11-02","0"
"MAHOUT-1241","2013-06-04","2013-06-08","4"
"MAHOUT-630","2011-03-22","2011-03-22","0"
"MAHOUT-457","2010-08-05","2010-08-10","5"
"MAHOUT-1395","2014-01-14","2014-01-20","6"
"MAHOUT-1200","2013-04-30","2013-06-01","32"
"MAHOUT-523","2010-10-08","2010-10-08","0"
"MAHOUT-805","2011-09-12","2011-09-13","1"
"MAHOUT-939","2012-01-03","2012-06-08","157"
"MAHOUT-193","2009-10-29","2009-12-12","44"
"MAHOUT-1217","2013-05-16","2013-05-20","4"
"MAHOUT-344","2010-03-22","2010-10-01","193"
"MAHOUT-1100","2012-10-12","2012-10-12","0"
"MAHOUT-1284","2013-07-12","2013-07-29","17"
"MAHOUT-624","2011-03-11","2011-03-11","0"
"MAHOUT-1332","2013-09-13","2013-09-13","0"
"MAHOUT-754","2011-07-04","2011-07-04","0"
"MAHOUT-1315","2013-08-18","2013-08-18","0"
"MAHOUT-973","2012-02-06","2012-04-06","60"
"MAHOUT-1552","2014-05-19","2015-03-27","312"
"MAHOUT-589","2011-01-23","2011-01-25","2"
"MAHOUT-842","2011-10-15","2011-10-15","0"
"MAHOUT-1223","2013-05-20","2013-05-21","1"
"MAHOUT-839","2011-10-11","2011-10-24","13"
"MAHOUT-936","2011-12-23","2011-12-23","0"
"MAHOUT-1259","2013-06-13","2013-06-13","0"
"MAHOUT-1366","2013-11-26","2014-02-03","69"
"MAHOUT-1136","2013-01-05","2013-01-09","4"
"MAHOUT-1003","2012-04-27","2012-06-22","56"
"MAHOUT-962","2012-01-27","2013-06-02","492"
"MAHOUT-48","2008-04-19","2008-04-23","4"
"MAHOUT-1127","2012-12-15","2012-12-15","0"
"MAHOUT-802","2011-09-07","2011-09-27","20"
"MAHOUT-793","2011-08-21","2011-08-22","1"
"MAHOUT-247","2010-01-14","2010-01-15","1"
"MAHOUT-128","2009-05-29","2009-06-04","6"
"MAHOUT-1466","2014-03-17","2014-03-17","0"
"MAHOUT-832","2011-10-09","2012-06-22","257"
"MAHOUT-497","2010-09-08","2010-09-08","0"
"MAHOUT-1301","2013-08-01","2013-08-01","0"
"MAHOUT-360","2010-04-02","2010-04-02","0"
"MAHOUT-958","2012-01-25","2013-06-07","499"
"MAHOUT-1290","2013-07-25","2013-07-26","1"
"MAHOUT-1185","2013-04-02","2013-04-02","0"
"MAHOUT-957","2012-01-25","2012-01-29","4"
"MAHOUT-1522","2014-04-22","2015-03-31","343"
"MAHOUT-1271","2013-06-28","2013-06-28","0"
"MAHOUT-1610","2014-08-27","2014-08-28","1"
"MAHOUT-1411","2014-01-28","2014-01-28","0"
"MAHOUT-1729","2015-06-02","2015-06-17","15"
"MAHOUT-359","2010-04-02","2010-04-27","25"
"MAHOUT-1492","2014-03-27","2014-03-27","0"
"MAHOUT-1005","2012-05-01","2012-05-05","4"
"MAHOUT-552","2010-11-24","2011-04-10","137"
"MAHOUT-1188","2013-04-09","2013-04-09","0"
"MAHOUT-799","2011-09-02","2011-09-28","26"
"MAHOUT-1441","2014-03-09","2014-05-07","59"
"MAHOUT-266","2010-01-25","2010-01-25","0"
"MAHOUT-894","2011-11-24","2011-11-28","4"
"MAHOUT-1400","2014-01-21","2014-01-21","0"
"MAHOUT-1209","2013-05-11","2013-05-12","1"
"MAHOUT-191","2009-10-28","2009-12-07","40"
"MAHOUT-347","2010-03-26","2010-03-26","0"
"MAHOUT-465","2010-08-12","2010-08-13","1"
"MAHOUT-1017","2012-05-18","2012-06-12","25"
"MAHOUT-755","2011-07-06","2011-07-06","0"
"MAHOUT-1064","2012-09-03","2013-03-12","190"
